Unnamed: 0,German,English
142,kommt,comes
143,wollen,want
144,damit,with it
145,ganz,quite
146,wäre,were
147,wollte,wanted
148,weißt,know
149,ok,OK
150,sicher,secure
151,gesagt,said
152,frau,woman
153,nun,so
154,bis,until
155,wurde,became
156,leid,sorrow
157,na,
158,kannst,can
159,macht,might
160,dieser,this
161,zurück,back
162,lassen,let
163,hallo,Hello
164,meinen,mean
165,gott,God
166,seine,his
167,hätte,would have
168,zwei,two
169,könnte,could
170,genau,Exactly
171,waren,were
172,zur,to
173,lass,let
174,klar,clear
175,morgen,morning
176,leute,people
177,vater,father
178,schön,nice
179,glaube,believe
180,mr.,mr.
181,ab,away
182,gerade,straight
183,tag,day
184,gesehen,seen
185,reden,talk
186,wohl,probably
187,liebe,love
188,sollte,should
189,sagte,said
190,unsere,our
191,jemand,someone
192,geld,money
193,durch,through
194,ob,whether
195,keinen,none
196,mutter,mother
197,raus,out
198,gemacht,made
199,paar,couple
200,mach,do
201,passiert,happened
202,dachte,thought
203,besser,better
204,musst,must
205,wieso,how come
206,sir,sir
207,dieses,this
208,selbst,himself
209,gehört,heard
210,möchte,want
211,ohne,without
212,hör,listen
213,her,here
214,sag,say
215,meiner,mine
216,anderen,others
217,helfen,help
218,nacht,night
219,finden,find
220,diesen,this one
221,gute,good
222,wirst,will
223,lange,long
224,natürlich,naturally
225,ach,Oh
226,meinem,mine
227,gar,even
228,ins,into the
229,sei,be
230,dort,there
231,weiter,further
232,geben,give
233,seit,since
234,gleich,even
235,sagt,says
236,recht,right
237,ihren,your
238,richtig,correct
239,ordnung,order
240,vom,from the
241,hören,hear
242,sieht,sees
243,davon,of that
244,dafür,for that
245,geh,go
246,diesem,this one
247,wegen,because of
248,hause,home
249,sollten,should
250,mädchen,girl
251,hin,there
252,sollen,should
253,abend,evening
254,haus,a house
255,denke,think
256,viele,many
257,drei,three
258,deinen,yours
259,freund,friend
260,guten,good
261,unser,our
262,warte,wait
263,machst,do
264,menschen,people
265,essen,eat
266,angst,fear
267,bleiben,remain
268,zusammen,together
269,welt,world
270,unter,under
271,habt,have
272,schnell,fast
273,andere,other
274,tot,dead
275,getan,did
276,darf,may
277,erst,first
278,rein,pure
279,stimmt,true
280,nehmen,take
281,kinder,children
282,eines,one
283,glauben,believe
284,bringen,bring
285,ganze,whole
286,genug,enough
287,scheiße,shit
288,brauchen,need
289,gegen,against
290,moment,moment
291,junge,boy
292,steht,stands
293,sonst,otherwise
294,musik,music
295,arbeit,work
296,seid,are
297,ihrer,theirs
298,fragen,questions
299,herr,Mr
300,dabei,included
301,heißt,is called
302,familie,family
303,warten,wait
304,niemand,no one
305,sofort,immediately
306,bevor,before
307,jahre,years
308,einmal,once
309,problem,problem
310,sohn,son
311,wann,When
312,brauche,need
313,fertig,complete
314,halt,stop
315,allein,alone
316,beim,at the
317,sprechen,speak
318,beide,both
319,gefunden,found
320,hatten,had
321,sache,matter
322,hilfe,help
323,verdammt,damned
324,ne,no
325,jeder,everyone
326,warst,were
327,gern,gladly
328,konnte,could
329,darüber,about it
330,halten,hold
331,siehst,see
332,verstehe,understand
333,jahren,years
334,kam,came
335,kind,child
336,wusste,knew
337,wahr,true
338,seinen,his
339,dazu,in addition
340,bruder,brother
341,daran,to it
342,ihrem,theirs
343,denken,think
344,könnten,could
346,würden,would
347,lieber,Dear
348,fall,case
349,deiner,yours
350,sehe,see
351,egal,doesn't matter
352,kennen,know
353,deinem,yours
354,vergessen,forget
355,frage,ask
356,mache,make
357,komme,come
358,sage,saw
359,mag,likes
360,sieh,see
361,echt,real
362,gib,give
363,eigentlich,actually
364,jeden,every
365,dad,dad
366,gab,gave
367,uhr,clock
368,stadt,city
369,männer,men
370,baby,baby
371,fahren,drive
372,namen,names
373,bekommen,receive
374,kopf,head
375,hi,hi
376,gehe,go
377,kleine,small
378,später,later
379,glück,happiness
380,letzte,last
381,freunde,friends
382,n,n
383,all,all
384,darauf,on it
385,ende,end
386,dr.,dr.
387,bald,soon
388,töten,kill
389,dinge,things
390,meinst,mean
391,toll,great
392,eins,one
393,minuten,minutes
394,vielen,many
395,bereit,ready
396,weit,far
397,ahnung,idea
398,seiner,his
399,bisschen,a little
400,tür,door
401,auto,car
402,jungs,guys
403,eure,your
404,augen,eyes
405,polizei,police
406,stehen,stand
407,sterben,die
408,hätten,would have
409,draußen,outside
410,kenne,know
411,fast,almost
412,runter,down
413,vorbei,over
414,treffen,meet
415,gerne,gladly
416,dran,your turn
417,wurden,became
418,arbeiten,work
419,mom,mom
420,verrückt,crazy
421,neue,new
422,ging,went
423,hinter,behind
424,sorgen,care for
425,einzige,only
426,jemanden,someone
427,darum,therefore
428,tochter,daughter
429,braucht,needs
430,idee,idea
431,schwester,sister
432,drin,inside
433,ruhig,quiet
434,sah,saw
435,ganzen,entire
436,spät,late
437,ziemlich,quite
438,solltest,should
439,name,name
440,sogar,even
441,kurz,short
442,kerl,guy
443,frauen,women
444,liegt,lies
445,suchen,seek
446,finde,find
447,je,ever
448,woher,from where
449,lang,long
450,job,job
451,keiner,none
452,seinem,his
453,hört,hears
454,verstehen,understand
455,spielen,play
456,s.,s.
457,überhaupt,at all
458,teufel,devil
459,verstanden,understood
460,verloren,lost
461,große,size
462,hand,hand
463,grund,reason
464,jahr,year
465,kommst,come
466,mama,mama
467,ruhe,quiet
468,gewesen,been
469,tod,death
470,stunden,hours
471,hoffe,hope
472,denkst,think
473,oben,above
474,gestern,yesterday
475,versuchen,attempt
476,art,Art
477,letzten,last
478,schatz,treasure
479,endlich,finally
480,he,hey
481,nimm,take
482,etwa,approximately
483,erzählt,told
484,läuft,running
485,schwer,difficult
486,anders,different
487,miss,miss
488,musste,had to
489,fünf,five
490,wasser,water
491,lässt,lets
492,erste,first
493,versucht,tried
494,gekommen,came
495,geschichte,story
496,wenig,few
497,holen,fetch
498,bedeutet,means
499,nett,nice
500,wahrheit,truth
501,woche,week
502,bringt,brings
503,deshalb,for this reason
504,welche,which
505,bestimmt,certainly
506,hoch,high
507,alter,age
508,sagst,say
509,schau,look
510,ah,uh
511,land,country
512,zimmer,room
513,wagen,dare
514,vier,four
515,gefallen,fallen
516,spaß,fun
517,niemals,never
518,schuld,fault
519,getötet,killed
520,wollten,wanted
521,verlassen,leave
522,zeigen,show
523,beste,best
524,ernst,serious
525,unserer,ours
526,denen,those
527,ort,location
528,bleibt,remains
529,würdest,would
530,manchmal,sometimes
531,glaubst,believe
532,seite,page
533,lasst,let
534,zwischen,between
535,eben,even
536,während,while
537,spiel,game
538,nehme,take
539,ersten,first
540,guter,goods
541,chance,chance
542,freundin,girlfriend
543,krieg,war
544,gefällt,pleases
545,kleinen,small
546,erzählen,tell
547,anderes,other
548,tage,days
549,entschuldigen,excuse
550,wichtig,important
551,gehst,go
552,allen,everyone
553,bett,bed
554,mrs.,mrs.
555,sachen,things
556,the,the
557,schlecht,bad
558,schule,school
559,entschuldigung,excuse
560,wort,word
561,john,John
562,hättest,would have
563,wären,would be
564,typ,type
565,schlafen,sleep
566,äh,uh
567,tu,do
568,euer,your
569,captain,captain
570,gesicht,face
571,falls,if
572,neuen,new
573,bloß,just
574,unten,below
575,teil,part
576,beiden,both
577,mensch,person
578,kleiner,smaller
579,stellen,place
580,oft,often
581,sorge,worries
582,gedacht,thought
583,tust,do
584,trinken,drink
585,einige,some
586,dies,this
587,ding,thing
588,unseren,ours
589,kriegen,get
590,blut,blood
591,ehrlich,honest
592,eltern,parents
593,scheint,appears
594,herz,heart
595,jack,Jack
596,glücklich,happy
597,alte,old ones
598,alt,old
599,bleib,stay
600,wiedersehen,see you again
601,frei,free
602,wen,who
603,drauf,on it
604,möglich,possible
605,irgendwie,somehow
606,reicht,suffices
607,fest,firmly
608,besten,best
609,waffe,weapon
610,kaum,barely
611,irgendwas,something
612,klingt,sounds
613,platz,place
614,brauchst,need
615,rede,speech
616,papa,papa
617,falsch,incorrect
618,sondern,rather
619,alten,old
620,nummer,number
621,früher,earlier
622,jungen,boys
623,wohin,where
624,außer,except
625,früh,early
626,setzen,set
627,zuerst,first
628,wahrscheinlich,probably
629,dürfen,may
630,jede,every
631,arsch,ass
632,telefon,phone
633,tue,do
634,kennst,know
635,willkommen,welcome
636,plan,plan
637,großen,big
638,retten,save
639,hierher,here
640,wär,would be
641,bring,bring
642,fehler,mistake
643,wollt,wanted
644,dollar,dollar
645,zehn,ten
646,allem,everything
647,pass,passport
648,nächste,next
649,stunde,hour
650,hände,hands
651,gegeben,given
652,menge,crowd
653,langsam,slow
654,bereits,already
655,wartet,waits
656,sechs,six
657,lieben,love
658,meines,mine
659,büro,office
660,nächsten,next
661,gebe,give
662,wochen,weeks
663,ruf,call
664,schaffen,create
665,leider,unfortunately
666,scheiß,shit
667,hölle,hell
668,trotzdem,despite it
669,doktor,doctor
670,tja,well
671,new,new
672,voll,full
673,film,film
674,überall,everywhere
675,hund,dog
676,geworden,become
677,direkt,direct
678,wolltest,wanted
679,tat,did
680,denkt,thinks
681,schiff,ship
682,neues,new
683,wem,whom
684,könig,king
685,danach,thereafter
686,funktioniert,functions
687,hattest,had
688,lernen,learn
689,deswegen,because of this
690,wow,Wow
691,nennen,to name
692,hm,Hm
693,feuer,fire
694,laufen,run
695,alleine,alone
696,erinnern,remember
697,völlig,fully
698,kleines,small
699,könnt,can
700,stelle,place
701,kumpel,buddy
702,verlieren,lose
703,probleme,problems
704,spricht,speaks
705,kaffee,coffee
706,luft,air
707,fand,found
708,i,i
709,entschuldige,sorry
710,ziehen,pull
711,verschwinden,disappear
712,könntest,could
713,seht,see
714,aufhören,stop
715,eigenen,own
716,richtige,correct
717,unserem,ours
718,suche,search
719,zwar,that is
720,groß,large
721,hol,get
722,buch,book
723,krank,sick
724,fühle,feel
725,jedes,each
726,verstehst,understand
727,wert,value
728,arzt,physician
729,froh,glad
730,versuche,try
731,straße,street
732,rufen,call
733,heiraten,marry
734,super,super
735,sam,Sam
736,lebt,lives
737,gutes,good
738,lasse,let
739,onkel,uncle
740,total,total
741,gebracht,brought
742,party,party
743,erklären,explain
744,spielt,plays
745,wahl,choice
746,vertrauen,trust
747,damals,at that time
748,tagen,meetings
749,leicht,light
750,nachdem,after
751,gegangen,gone
752,gefühl,feeling
753,kaufen,buy
754,geschafft,done
755,typen,types
756,interessiert,interested
757,möchten,want
758,halte,hold
759,hält,holds
760,glaub,believe
761,irgendwo,somewhere
762,stück,piece
763,genauso,just as
764,kennt,knows
765,genommen,taken
766,zukunft,future
767,weniger,fewer
768,cool,cool
769,licht,light
770,getroffen,met
771,himmel,heaven
772,nachricht,news
773,drüben,over
774,passt,fits
775,sagten,said
776,kümmern,take care
777,laut,loud
778,vergiss,forget
779,angerufen,called
780,sitzen,sit
781,daß,that
782,erde,earth
783,großer,big one
784,schlüssel,key
785,rest,rest
786,passieren,happen
787,eher,rather
788,gefragt,asked
789,gefängnis,jail
790,opfer,victim
791,körper,body
792,solche,such
793,mist,crap
794,mr,mr
795,findet,finds
796,schreiben,write
797,böse,evil
798,gesprochen,spoken
799,versuch,attempt
800,vorstellen,introduce
801,wovon,from what
802,sobald,as soon as
803,nochmal,again
804,herren,gentlemen
805,sex,sex
806,waffen,weapons
807,wohnung,apartment
808,weh,sore
809,heißen,be called
810,krankenhaus,hospital
811,bringe,bring
812,höre,listen
813,millionen,million
814,klasse,class
815,hart,hard
816,worden,been
817,sinn,sense
818,außerdem,aside from that
819,verletzt,injured
820,ändern,change
821,erfahren,experience
822,tragen,carry
823,wenigstens,at least
824,vorsichtig,cautious
825,daddy,daddy
826,stolz,proud
827,stark,strong
828,fällt,falls
829,möchtest,would like
830,leuten,people
831,besonders,particularly
832,schöne,beautiful
833,schicken,send
834,person,person
835,schätze,guess
836,solange,as long as
837,länger,longer
838,großartig,great
839,lacht,laughs
840,anrufen,call
841,stand,stood
842,redest,talk
843,fühlen,feel
844,erwartet,expected
845,boden,floor
846,boss,boss
847,stimme,agree
848,glaubt,believes
849,still,silent
850,sicherheit,security
851,setz,put
852,ma,ma
853,mund,mouth
854,kämpfen,battle
855,wisst,know
856,lachen,laugh
857,hörst,hear
858,zeug,things
859,lustig,funny
860,umbringen,kill
861,sollst,should
862,hasse,hate
863,schlimm,terrible
864,o,O
865,unglaublich,incredible
866,wärst,would be
867,laden,load
868,führen,lead
869,gestorben,died
870,schauen,look
871,meinung,opinion
872,lesen,read
873,mörder,murderer
874,frank,frank
875,ähm,um
876,geschehen,happen
877,geschäft,business
878,idiot,idiot
879,verzeihung,forgiveness
880,fliegen,fly
881,zeig,show
882,team,team
883,general,general
884,mike,Mike
885,aufs,ons
886,york,York
887,vorher,previously
888,schluss,ending
889,schneller,faster
890,liebt,loves
891,verdient,earned
892,mögen,like
893,meisten,most
894,denk,think
895,umgebracht,killed
896,perfekt,perfect
897,versprochen,promised
898,handy,cell phone
899,hinten,rear
900,monate,months
901,erinnere,remember
902,acht,eight
903,arbeitet,works
904,fallen,fall
905,rufe,shout
906,nötig,necessary
907,a,a
908,mord,murder
909,heraus,out of here
910,tages,day
911,unmöglich,impossible
912,liebling,darling
913,charlie,charlie
914,tatsächlich,actually
915,folgen,consequences
916,bitten,ask
917,behalten,keep
918,nähe,vicinity
919,arbeite,work
920,joe,joe
921,verdammte,damn
922,plötzlich,suddenly
923,lebens,life
924,hole,fetch
925,tisch,table
926,michael,Michael
927,hörte,heard
928,jemals,ever
929,liegen,lay
930,verkaufen,sell
931,gefährlich,dangerous
932,anfangen,begin
933,bekommt,receives
934,machte,made
935,ha,Ha
936,hotel,hotel
937,hilft,helps
938,werdet,will
939,meister,master
940,kampf,battle
941,antwort,answer
942,konnten,could
943,geschickt,sent
944,jedem,everyone
945,obwohl,although
946,sieben,seven
947,komisch,funny
948,gewinnen,win
949,ihres,hers
950,bezahlt,paid
951,you,you
952,voller,fuller
953,unterwegs,on the way
954,dumm,dumb
955,ärger,aggravation
956,bild,picture
957,george,george
958,neu,new
959,bezahlen,pay
960,dagegen,against it
961,seien,be
962,starb,died
963,tom,tom
964,monaten,months
965,leiche,corpse
966,niemanden,nobody
967,auge,eye
968,arschloch,asshole
969,verheiratet,married
970,peter,Peter
971,zieh,pull
972,nimmt,takes
973,gerettet,saved
974,agent,agent
975,traum,dream
976,entscheidung,decision
977,schlimmer,worse
978,regeln,regulate
979,fenster,window
980,fangen,catch
981,fort,continued
982,ständig,constant
983,findest,find
984,gefahr,danger
985,absolut,absolutely
986,mary,mary
987,augenblick,moment
988,bescheid,notice
989,rum,rum
990,gedanken,thoughts
991,werd,will
992,ziel,goal
993,benutzt,used
994,bewegung,movement
995,jemandem,someone
996,wünschte,wished
997,worte,words
998,kamen,came
999,welcher,which
1000,zahlen,pay
1001,anfang,beginning
1002,legen,place
1003,erinnerst,remember
1004,anwalt,attorney
1005,fahr,drive
1006,sitzt,sits
1007,hilf,help
1008,offen,open
1009,schönen,beautiful
1010,monsieur,monsieur
1011,müsste,would have to
1012,arme,poor
1013,bier,beer
1014,fürs,for
1015,partner,partner
1016,klein,small
1017,david,David
1018,klappe,flap
1019,süß,sweet
1020,herum,around
1021,finger,finger
1022,ehe,before
1023,rolle,role
1024,ließ,let
1025,gleiche,same
1026,monat,month
1027,hochzeit,wedding
1028,max,max
1029,führt,leads
1030,paris,Paris
1031,wach,awake
1032,wozu,for what reason
1033,arm,arm
1034,geschrieben,written
1035,chef,boss
1036,benutzen,use
1037,informationen,information
1038,erledigt,completed
1039,hoffentlich,hopefully
1040,müsst,must
1041,fühlt,feels
1042,tanzen,dance
1043,ansehen,view
1044,darfst,may
1045,zuhause,at home
1046,wunderbar,wonderful
1047,hältst,hold
1048,reise,trip
1049,gewonnen,won
1050,dame,lady
1051,irgendwann,sometime
1052,chffffff,chffffff
1053,alex,alex
1054,steckt,stuck
1055,jedenfalls,anyway
1056,schreit,screams
1057,tolle,great
1058,rüber,over
1059,tschüss,bye
1060,nennt,calls
1061,raum,space
1062,heiß,hot
1063,foto,photo
1064,paul,paul
1065,irgendetwas,anything
1066,weile,while
1067,bisher,until now
1068,minute,minute
1069,unbedingt,absolutely
1070,zug,train
1071,sekunden,seconds
1072,wofür,for what
1073,erzähl,tell
1074,nen,nen
1075,beweise,proofs
1076,nahm,took
1077,aller,all
1078,freut,happy
1079,seele,soul
1080,schießen,shoot
1081,müde,tired
1082,dauert,lasts
1083,magst,like
1084,harry,Harry
1085,brief,letter
1086,gelernt,learned
1087,sucht,seeks
1088,bekannt,known
1089,weitere,more
1090,unfall,accident
1091,dahin,there
1092,kontrolle,control
1093,beispiel,example
1094,lady,lady
1095,dasselbe,same
1096,herzen,hearts
1097,schlagen,hit
1098,wütend,angry
1099,weise,way
1100,damen,ladies
1101,darin,in it
1102,gottes,God
1103,holt,fetch
1104,fehlt,missing
1105,vorsicht,caution
1106,heiße,hot
1107,beweisen,prove
1108,gehabt,had
1109,zumindest,at least
1110,vermisst,missing
1111,hübsch,pretty
1112,kriegt,gets
1113,verbindung,connection
1114,tief,deep
1115,richtung,direction
1116,lage,location
1117,sowieso,anyway
1118,kraft,power
1119,normal,normal
1120,lauf,run
1121,ehre,honor
1122,stell,put
1123,geschenk,gift
1124,bar,bear
1125,tasche,bag
1126,gelesen,read
1127,gekauft,bought
1128,wussten,knew
1129,gestohlen,stolen
1130,hunger,hunger
1131,leg,leg
1132,lügen,lie
1133,beziehung,relationship
1134,ben,ben
1135,verschwunden,disappeared
1136,steh,stand
1137,nächstes,next
1138,gearbeitet,worked
1139,preis,price
1140,witz,joke
1141,meinte,said
1142,liste,list
1143,geist,spirit
1144,neben,next to
1145,gesucht,wanted
1146,firma,company
1147,süße,sweetness
1148,rücken,back
1149,schrecklich,terrible
1150,letzter,last
1151,verliebt,in love
1152,öffnen,open
1153,redet,talks
1154,boot,boat
1155,seltsam,strange
1156,versteckt,hidden
1157,fürchte,fear
1158,verschwinde,disappear
1159,erwischt,caught
1160,verkauft,sold
1161,tante,aunt
1162,erwarten,expect
1163,pferd,horse
1164,wunder,wonder
1165,sauer,sour
1166,vermutlich,allegedly
1167,näher,closer
1168,major,major
1169,jung,young
1170,majestät,majesty
1171,aussehen,look
1172,ans,ans
1173,de,de
1174,and,and
1175,links,left
1176,großes,big
1177,welches,which
1178,beschützen,protect
1179,geboren,born
1180,erreichen,to reach
1181,punkt,point
1182,kindern,children
1183,kirche,church
1184,verraten,betrayed
1185,selber,himself
1186,befehl,command
1187,colonel,colonel
1188,fährt,drives
1189,zieht,pulls
1190,geburtstag,birthday
1191,haut,skin
1192,wette,bet
1193,reich,rich
1194,sekunde,second
1195,fahre,drive
1196,schwöre,swear
1197,geredet,talked
1198,james,james
1199,madame,madame
